SALEM_W,EUGENE_W,SEATTLE_W,BOISE_W,PORTLAND_W,SPOKANE_W,PASCO_W,FRESNO_W,LOS ANGELES_W,SAN DIEGO_W,SACRAMENTO_W,SAN JOSE_W,SAN FRANCISCO_W,TUCSON_W,PHOENIX_W,LAS VEGAS_W,OAKLAND_W
2.4634084233217792,2.7165457114150184,3.0161776674706364,3.0472666426961674,3.2671349173857362,3.3373339152843404,2.9005414464156223,2.737227216739499,3.156707388136042,2.230407179378253,2.479134836742921,2.9986504292865117,4.536491868888512,2.9977835741351218,3.021616398126331,3.608243054574305,3.8813063037978393
2.4921379185753976,2.7118224930915797,2.825613571888404,3.1091788092301855,3.229927755667587,3.2243725256629885,2.7137479262843023,2.707877287400806,3.106803760332904,2.1956789322558414,2.3319748504031064,3.018978795980498,4.244696161619005,2.894130795405257,2.959017175322982,3.4420462220428187,3.908967435823414
2.3702634171410772,2.5648084508588704,2.803968273647683,2.948409386815973,3.2668411044905223,3.2001247490413762,2.646621914799357,2.7927575049198006,3.0918840137052896,2.216572070569283,2.4951106100077785,3.021010530768209,4.350021114950301,2.932630239666061,2.976758225213877,3.5623641993324475,3.9043024206630887
2.452158026990838,2.5936720194660046,2.8902198633164393,3.045751917659044,3.216138597672181,3.2303511552228814,2.753887962082238,2.7405210889087264,3.0551926907008586,2.1932767129542836,2.3185830457912626,3.0121396573366637,4.5756048471002595,3.0457183210129966,3.066549907735326,3.4996921678407578,3.8001280007651888
2.3702634171410772,2.5648084508588704,2.803968273647683,2.948409386815973,3.2668411044905223,3.2001247490413762,2.646621914799357,2.7927575049198006,3.0918840137052896,2.216572070569283,2.4951106100077785,3.021010530768209,4.350021114950301,2.932630239666061,2.976758225213877,3.5623641993324475,3.9043024206630887
2.466478987154948,2.705429452374807,3.003097388847787,2.975214035879846,3.33070223841461,3.3290160186811435,2.7414220983710442,2.6916283089266644,2.968422574839276,2.1406145302714155,2.2800221190889958,2.8967822765968463,4.139961010526471,3.0415851650595918,3.0179550285828407,3.463443862024995,3.6894632791238173
2.685371117316126,2.794512901304012,3.011318256186538,3.0885111332742152,3.3871092478230747,3.459461770190702,2.9107625597996347,2.7818814475498415,3.004042478976825,2.1923105672465066,2.5034240785521242,3.031179894561786,4.3769473684350055,2.9341023228961713,2.9366017018996193,3.489783931955451,3.9730319318888117
2.2651686285918458,2.508420162862546,2.8139042699639343,2.8621671414910366,3.14593875878971,3.0723096970886328,2.6105284173173238,2.6177442273144687,2.9607910246472353,2.1977680382966254,2.468311292876816,2.9388647431577537,4.3376386664540085,2.9699196632798546,3.0484812196133513,3.6620166512511743,3.816028174250692
2.517116331337956,2.675962482586921,2.989999237854111,3.01527422862356,3.407332145458516,3.325889411946663,2.870224245562143,2.679448838528129,2.945454260344063,2.1884725199229615,2.3346367875624954,2.9759642821627135,4.453149471380658,2.9315553837251334,2.981226202680477,3.5280261420935672,3.7774582629578455
2.555205049319014,2.6859830968575973,3.007220478192885,3.0830681102751325,3.1604971223924676,3.3530518497525774,2.820162437559156,2.6087797386730753,2.9762500010920894,2.143524771684308,2.3141311148987715,2.8833429583310424,4.380305665349543,2.87358471966606,2.9422411614634836,3.559525136049055,3.674132364396473
2.5912291519659085,2.667398071144141,3.013253591405517,3.2428389145836083,3.0154693203511513,3.3043601503201505,2.8526768191743126,2.8153102665908816,3.035294321376426,2.190163609562133,2.5171301322463293,3.060841142850046,4.382155296053113,2.8297372248870407,2.9989784767777397,3.6680073816517607,3.833827321285473
2.504265210785669,2.6649898699521013,2.910018983233589,2.9276416329955817,3.033990519047578,3.2819329815714013,2.8373798765424776,2.5648077993540275,2.9937623182202637,2.1014174808310653,2.2309090242711314,2.808990740356314,4.247310560792801,2.73603722673391,2.777434876574621,3.3230022081313777,3.717828209407527
2.6640826414727687,2.859215295030374,3.085122400943334,3.1377279877396638,3.0613362244018116,3.551984645763996,2.8014686461152505,2.7898709357022375,2.990040336132867,2.2464712478172935,2.4500146471471274,3.047601204777091,4.368864062620052,3.0188455305295023,3.1090566653638807,3.6093756460171953,3.7836677094524793
2.7469308226374802,2.8899065884345716,3.1501714574022914,3.2478317219927573,3.6936424255966593,3.5216676270354093,3.00694286482444,2.7903262889375884,3.136474049087179,2.278588063143521,2.574317410395015,3.1554993703117655,4.482206127258048,3.0463939753072493,3.0941697318045818,3.4864515685117796,3.9789787500475007
2.4634084233217792,2.7165457114150184,3.0161776674706364,3.0472666426961674,3.2671349173857362,3.3373339152843404,2.9005414464156223,2.737227216739499,3.156707388136042,2.230407179378253,2.479134836742921,2.9986504292865117,4.536491868888512,2.9977835741351218,3.021616398126331,3.608243054574305,3.8813063037978393
2.3350572963759806,2.524149650250037,2.7938183873776037,2.88319758819506,3.141653007307866,2.986352937244892,2.5661409910131274,2.562491791363964,3.0471916938715156,2.073955798775399,2.1905988836330583,2.8042208912264974,4.298567627852751,2.9756264969278012,2.968862204841546,3.207903156101239,3.6709668972135074
2.4214536764336714,2.6237061693977277,2.9270555206264257,2.9837089469197458,3.0518921907242724,3.145126612251977,2.6436408861482996,2.5287680413596,3.1009816828134227,2.1816968623200483,2.2819657543406766,2.8762472039124494,4.329820866804244,2.9605488876696318,2.9627319017038762,3.6182329993816924,3.725833599851294
2.4196775946140883,2.554976823225052,2.8802989977154385,3.0887724523367566,3.3492492272209926,3.234697069593329,2.5558302615242874,2.7836936389199276,3.0595987999258187,2.2266630180579865,2.4240681347356037,2.999054533823656,4.420750905442167,3.013899106093223,3.077422495747471,3.510895599851492,3.979761881749085
2.474321027003548,2.735060423634573,2.772782027111426,3.038122892241991,3.4152965608308783,3.3504054962308008,2.8057571260198686,2.6751267397979155,3.1253314196470385,2.1795808243938337,2.352023512531586,2.9897822250887907,4.383855839775423,2.9728846139121825,2.983968928279125,3.476246057262618,3.8974297943911296
2.5984690394480565,2.8048066245770507,3.017653933990797,3.1458914596400693,3.149606985740332,3.4267897534463505,2.8112905709070866,2.6763211327073853,3.0758012811810644,2.3096287287243795,2.491572249066348,3.0531078005055656,4.312469291368597,2.9773123845099803,3.0232747272152505,3.5340502711421777,3.8216946449587192
2.5466117776642587,2.704095564968012,3.0298410972501975,3.0331302023070843,2.949052255237742,3.307869245105391,2.7522388521287953,2.693164043831635,2.9934654930577786,2.15463678537472,2.2559440650025455,2.9270985465160515,4.364626890002225,2.870570783943882,2.9886570852920324,3.7029224963026466,3.685177746698881
2.45761523524058,2.681769491414248,2.9247838321467423,2.9814291117759164,3.307647499472662,3.279804077360902,2.7681883715865476,2.744027080885627,3.0861805119491947,2.2655226123766505,2.4886189953394977,2.9940083475189554,4.536161933035216,3.046553259139901,3.0172285899651636,3.6626758846570664,3.9224716673223026
2.45761523524058,2.681769491414248,2.9247838321467423,2.9814291117759164,3.307647499472662,3.279804077360902,2.7681883715865476,2.744027080885627,3.0861805119491947,2.2655226123766505,2.4886189953394977,2.9940083475189554,4.536161933035216,3.046553259139901,3.0172285899651636,3.6626758846570664,3.9224716673223026
2.5984690394480565,2.8048066245770507,3.017653933990797,3.1458914596400693,3.149606985740332,3.4267897534463505,2.8112905709070866,2.6763211327073853,3.0758012811810644,2.3096287287243795,2.491572249066348,3.0531078005055656,4.312469291368597,2.9773123845099803,3.0232747272152505,3.5340502711421777,3.8216946449587192
2.4921379185753976,2.7118224930915797,2.825613571888404,3.1091788092301855,3.229927755667587,3.2243725256629885,2.7137479262843023,2.707877287400806,3.106803760332904,2.1956789322558414,2.3319748504031064,3.018978795980498,4.244696161619005,2.894130795405257,2.959017175322982,3.4420462220428187,3.908967435823414
2.2651686285918458,2.508420162862546,2.8139042699639343,2.8621671414910366,3.14593875878971,3.0723096970886328,2.6105284173173238,2.6177442273144687,2.9607910246472353,2.1977680382966254,2.468311292876816,2.9388647431577537,4.3376386664540085,2.9699196632798546,3.0484812196133513,3.6620166512511743,3.816028174250692
2.4214536764336714,2.6237061693977277,2.9270555206264257,2.9837089469197458,3.0518921907242724,3.145126612251977,2.6436408861482996,2.5287680413596,3.1009816828134227,2.1816968623200483,2.2819657543406766,2.8762472039124494,4.329820866804244,2.9605488876696318,2.9627319017038762,3.6182329993816924,3.725833599851294
2.685371117316126,2.794512901304012,3.011318256186538,3.0885111332742152,3.3871092478230747,3.459461770190702,2.9107625597996347,2.7818814475498415,3.004042478976825,2.1923105672465066,2.5034240785521242,3.031179894561786,4.3769473684350055,2.9341023228961713,2.9366017018996193,3.489783931955451,3.9730319318888117
2.7469308226374802,2.8899065884345716,3.1501714574022914,3.2478317219927573,3.6936424255966593,3.5216676270354093,3.00694286482444,2.7903262889375884,3.136474049087179,2.278588063143521,2.574317410395015,3.1554993703117655,4.482206127258048,3.0463939753072493,3.0941697318045818,3.4864515685117796,3.9789787500475007
2.6047655473050377,2.765236946133554,3.115957147305175,3.0746820636896253,3.599446919418867,3.199603819846776,2.8511497201521867,2.7894588827634426,3.00380622946458,2.195308495621158,2.3685607895408043,2.999468981312574,4.392181181140476,3.0644344916170367,3.0480718554373603,3.550928263014335,3.895519628144911
2.5927431415567352,2.7464680994319415,2.9538163135233284,2.9902583918062233,2.9956233345711,3.2509850526792516,2.714020214750238,2.504323167696768,3.028655172397662,2.2003373247545253,2.342684712305935,2.884090450922679,4.157981033111656,2.9218256219057865,2.9233117141228626,3.4025666923686813,3.636384758935569
2.61297170844133,2.743516106299364,2.9804415592327174,2.965336249793465,3.299279322058312,3.3472298608605238,2.8732584208919247,2.7027132357119177,3.041148159982147,2.0592589620657593,2.3077258426498957,2.9683825322507493,4.3474835009989965,2.9389912416760375,2.975419165762707,3.5641096527662794,3.875061345525148
2.611815985130396,2.6918897808301696,3.058127355751101,2.977432313133064,3.389621351355189,3.3124336634881213,2.8985753822266536,2.663191417327855,3.095062637629123,2.2502469069841036,2.412435002654944,2.968140856812379,4.2840701956743805,3.0221680771238337,3.0265780310937522,3.685097690694631,3.742263147837877
2.5564206787664077,2.7020481631765567,3.0043707216367626,3.052218126901369,3.154113301704181,3.2558239288930926,2.731779611700014,2.5393441220332145,2.978357552568252,2.1884989187538575,2.292681446844991,2.946561407511114,4.39309905214007,3.0214926809135436,2.9427562634262627,3.43313372423792,3.8041103280910393
2.4196775946140883,2.554976823225052,2.8802989977154385,3.0887724523367566,3.3492492272209926,3.234697069593329,2.5558302615242874,2.7836936389199276,3.0595987999258187,2.2266630180579865,2.4240681347356037,2.999054533823656,4.420750905442167,3.013899106093223,3.077422495747471,3.510895599851492,3.979761881749085
2.540673710944102,2.6836425448127796,3.045847074046346,3.0159995092958445,3.4039539193572694,3.295346571795781,2.721505282037343,2.814761020362392,2.96687812437796,2.1681306538200755,2.3779499983477894,3.045937810446638,4.61512430157473,2.9820888387816997,2.9850971649857256,3.505425446254153,3.9106699108391583
2.685371117316126,2.794512901304012,3.011318256186538,3.0885111332742152,3.3871092478230747,3.459461770190702,2.9107625597996347,2.7818814475498415,3.004042478976825,2.1923105672465066,2.5034240785521242,3.031179894561786,4.3769473684350055,2.9341023228961713,2.9366017018996193,3.489783931955451,3.9730319318888117
2.72068948036243,2.886858681309117,3.157058331050029,3.0860723902887206,3.143843938087124,3.6792439492795457,2.9751474296842244,2.6636530557276883,3.044012764653703,2.148104113716984,2.34164358927957,2.92750195027228,4.436991780899352,3.007427377313605,2.9961504814310036,3.6796287687375377,3.774938493273448
2.7469308226374802,2.8899065884345716,3.1501714574022914,3.2478317219927573,3.6936424255966593,3.5216676270354093,3.00694286482444,2.7903262889375884,3.136474049087179,2.278588063143521,2.574317410395015,3.1554993703117655,4.482206127258048,3.0463939753072493,3.0941697318045818,3.4864515685117796,3.9789787500475007
2.6412159064743532,2.771485734225627,2.957713721517118,3.053836465587461,3.1577164244141818,3.4076756739278475,2.8403151880349617,2.7191354973873416,3.0794622791399933,2.2268769843528453,2.534298105372641,2.927682149060944,4.359883144274219,2.945685531559917,2.9899438055024103,3.576451285103108,3.928384242369339
